layer_name,target_fro_norm,raw_fro_norm,delta_fro_norm,raw_fro_ratio,delta_fro_ratio,raw_spectral_ratio,faithfulness_mse,target_singular_values,raw_singular_values,run_name,depth,architecture,replicate,checkpoint_step,top1_component_strength_frac,top3_component_strength_frac,raw_under_scaling_gap,delta_support_gap
linear2,2.201704740524292,2.2105109691619873,0.025741521269083023,1.0039997100830078,0.011691631749272346,1.00324285030365,6.626258982578292e-05,"[1.7000542879104614, 1.3990426063537598]","[1.7055673599243164, 1.4062001705169678]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,0.2114897221326828,0.6175715327262878,-0.0039997100830078125,0.011691631749272346
hidden_layers.0,1.9800277948379517,1.973251461982727,0.010015944018959999,0.9965776801109314,0.005058486480265856,0.9974087476730347,2.507978570065461e-05,"[1.6324187517166138, 1.1205888986587524]","[1.6281887292861938, 1.1147749423980713]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,0.5073537826538086,0.9798281192779541,0.0034223198890686035,0.005058486480265856
linear1,2.201704740524292,2.203346014022827,0.016448581591248512,1.000745415687561,0.007470839191228151,1.0013163089752197,2.7055581085733138e-05,"[1.7000540494918823, 1.3990427255630493]","[1.7022918462753296, 1.3989055156707764]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,0.2124365121126175,0.6189051866531372,-0.0007454156875610352,0.007470839191228151
linear2,2.201704740524292,2.203346014022827,0.016448581591248512,1.000745415687561,0.007470839191228151,1.0013161897659302,2.7055581085733138e-05,"[1.7000542879104614, 1.3990426063537598]","[1.7022918462753296, 1.3989055156707764]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,0.2124365121126175,0.6189051866531372,-0.0007454156875610352,0.007470839191228151
hidden_layers.0,1.9800277948379517,1.9777954816818237,0.0024070360232144594,0.9988725781440735,0.0012156576849520206,0.9986516237258911,1.4484555777016794e-06,"[1.6324187517166138, 1.1205888986587524]","[1.6302176713943481, 1.119850516319275]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,0.5070354342460632,0.9804449677467346,0.0011274218559265137,0.0012156576849520206
linear1,2.201704740524292,2.2062487602233887,0.016944576054811478,1.0020638704299927,0.007696116343140602,1.0009160041809082,2.8711865525110625e-05,"[1.7000540494918823, 1.3990427255630493]","[1.7016112804412842, 1.404297947883606]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,0.21348527073860168,0.6197456121444702,-0.0020638704299926758,0.007696116343140602
linear2,2.201704740524292,2.2062487602233887,0.016944576054811478,1.0020638704299927,0.007696116343140602,1.0009158849716187,2.8711865525110625e-05,"[1.7000542879104614, 1.3990426063537598]","[1.7016113996505737, 1.404297947883606]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,0.21348527073860168,0.6197456121444702,-0.0020638704299926758,0.007696116343140602
hidden_layers.0,1.9800277948379517,1.9850090742111206,0.008318203501403332,1.0025157928466797,0.004201054107397795,1.0034738779067993,1.7298129023401998e-05,"[1.6324187517166138, 1.1205888986587524]","[1.6380895376205444, 1.1211260557174683]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,0.5098565816879272,0.9862663745880127,-0.0025157928466796875,0.004201054107397795
linear1,2.201704740524292,2.211529016494751,0.013242238201200962,1.0044621229171753,0.006014538463205099,1.004483938217163,1.7535687220515683e-05,"[1.7000540494918823, 1.3990427255630493]","[1.7076770067214966, 1.4052398204803467]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,0.21147145330905914,0.6201193928718567,-0.004462122917175293,0.006014538463205099
linear2,2.201704740524292,2.211529016494751,0.013242238201200962,1.0044621229171753,0.006014538463205099,1.0044838190078735,1.7535687220515683e-05,"[1.7000542879104614, 1.3990426063537598]","[1.7076770067214966, 1.4052398204803467]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,0.21147145330905914,0.6201193928718567,-0.004462122917175293,0.006014538463205099
